,country,date,vaccine,total_vaccinations
19536,Switzerland,2021-11-02,Moderna,7271631
19537,Switzerland,2021-11-02,Pfizer/BioNTech,3840869
19538,Switzerland,2021-11-03,Johnson&Johnson,23159
19539,Switzerland,2021-11-03,Moderna,7279595
19540,Switzerland,2021-11-03,Pfizer/BioNTech,3847517
19541,Switzerland,2021-11-04,Johnson&Johnson,23830
19542,Switzerland,2021-11-04,Moderna,7287149
19543,Switzerland,2021-11-04,Pfizer/BioNTech,3851851
19544,Switzerland,2021-11-05,Johnson&Johnson,24651
19545,Switzerland,2021-11-05,Moderna,7296719
19546,Switzerland,2021-11-05,Pfizer/BioNTech,3858131
19547,Switzerland,2021-11-06,Johnson&Johnson,24856
19548,Switzerland,2021-11-06,Moderna,7301523
19549,Switzerland,2021-11-06,Pfizer/BioNTech,3861893
19550,Switzerland,2021-11-07,Johnson&Johnson,24871
19551,Switzerland,2021-11-07,Moderna,7301754
19552,Switzerland,2021-11-07,Pfizer/BioNTech,3862132
19553,Switzerland,2021-11-08,Johnson&Johnson,25705
19554,Switzerland,2021-11-08,Moderna,7310409
19555,Switzerland,2021-11-08,Pfizer/BioNTech,3867861
19556,Switzerland,2021-11-09,Johnson&Johnson,26591
19557,Switzerland,2021-11-09,Moderna,7319869
19558,Switzerland,2021-11-09,Pfizer/BioNTech,3876144
19559,Switzerland,2021-11-10,Johnson&Johnson,27902
19560,Switzerland,2021-11-10,Moderna,7330428
19561,Switzerland,2021-11-10,Pfizer/BioNTech,3887014
19562,Switzerland,2021-11-11,Johnson&Johnson,28939
19563,Switzerland,2021-11-11,Moderna,7342252
19564,Switzerland,2021-11-11,Pfizer/BioNTech,3897211
19565,Switzerland,2021-11-12,Johnson&Johnson,30049
19566,Switzerland,2021-11-12,Moderna,7357606
19567,Switzerland,2021-11-12,Pfizer/BioNTech,3909031
19568,Switzerland,2021-11-13,Johnson&Johnson,30753
19569,Switzerland,2021-11-13,Moderna,7364715
19570,Switzerland,2021-11-13,Pfizer/BioNTech,3916948
19571,Switzerland,2021-11-14,Johnson&Johnson,30875
19572,Switzerland,2021-11-14,Moderna,7365792
19573,Switzerland,2021-11-14,Pfizer/BioNTech,3918300
